year,China,Germany,Russia,United Kingdom,United States
1996,3508.818,959.653,1586.822,586.761,5612.983
1997,3515.594,931.487,1482.245,562.708,5688.142
1998,3364.587,923.467,1465.253,568.544,5733.281
1999,3557.275,895.402,1494.179,561.65,5803.918
2000,3649.201,898.938,1479.142,569.034,6010.136
2001,3728.513,915.242,1515.647,577.971,5907.74
2002,4103.042,898.835,1506.788,560.273,5946.308
2003,4841.119,899.858,1537.018,571.619,6010.146
2004,5217.351,885.633,1543.957,573.43,6112.655
2005,5882.143,865.471,1562.577,570.338,6132.183
2006,6494.338,877.498,1623.002,567.846,6052.686
2007,6983.577,850.23,1623.781,559.566,6130.123
2008,7501.498,852.858,1652.064,544.932,5915.119
2009,7891.089,788.286,1545.034,494.108,5480.726
2010,8620.627,831.13,1632.783,511.905,5679.715
2011,9532.409,807.614,1685.91,469.713,5546.116
2012,9779.354,812.816,1701.268,487.477,5344.086
2013,9956.376,833.804,1640.437,477.611,5480.157
2014,9998.674,794.738,1639.959,438.807,5528.681
2015,9866.951,798.085,1638.675,422.461,5376.473
2016,9765.029,801.745,1634.885,399.43,5252.932
2017,10011.151,785.986,1666.121,387.367,5212.162
2018,10353.935,754.811,1712.494,379.73,5377.797
2019,10721.042,707.491,1705.031,364.753,5262.145
2020,10914.012,647.252,1632.929,326.263,4714.628
2021,11336.233,678.799,1711.993,347.465,5032.213
2022,11396.777,665.605,1652.177,318.654,5057.304
